Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\wiki\utils::documentFolders,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.3129536948664976e-16,3.169622848381762e-16,0.0,0.28225806451612945
\src\queries\javascript::constructorDefinitions,0.03225806451612903,,,0.06666666666666667,0.125,0.003224939532383768,0.05098855359001041,0.005278414542068431,1.4979319689213845e-16,2.901165830086516e-16,8.653214172531115e-12,0.28341663885591195
\src\utils\ai::getAzureOpenAIChatCompletion,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,9.056435149520359e-17,2.70690281749783e-16,0.0,0.2822580645161294
\src\utils\rag::splitMarkdownByHeaders,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.10197710718002082,0.06334097450482118,1.4842482748791541e-16,0.0,1.730642834506224e-11,0.330909479551611
\src\utils\git::downloadAndExtractRepo,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.5561401824749703e-16,2.6454599318787365e-16,0.0,0.28225806451612945
\src\utils\git::getCommitRepo,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.548784591146261e-16,2.458447488057191e-16,0.0,0.2822580645161294
\src\routes\graphs::updateGraph,0.03225806451612903,,,0.06666666666666667,0.125,0.003224939532383768,0.05098855359001041,0.015835243626205288,1.5911747463701803e-16,2.2340774616073346e-16,8.653214172531115e-12,0.29397346794004875
\src\tools\function_tools::getCodeTool,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.05098855359001041,0.003958810906551324,1.562349071775104e-16,7.177737968812981e-17,8.653214172531115e-12,0.27887209568801086
\src\tools\function_tools::topNSimilar,0.03225806451612903,,,0.06666666666666667,0.125,0.01934963719430261,0.14119907148002883,0.10223830348143774,1.6201561861915343e-16,2.579119654221868e-16,2.7212800994059304e-06,0.48671446461866474
\src\utils\ai::getOpenAIChatCompletion,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,9.056435149520359e-17,2.4297675159478803e-16,0.0,0.28225806451612934
\src\wiki\wikiGuille::nodesPath,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,1.8269707574376984e-16,2.6567125955488884e-16,0.0,0.28225806451612945
\src\model\codebase::Node.addCall,0.03225806451612903,1.0,0.0,0.0,0.125,0.0,0.4029339356869115,0.012187612477670551,0.07414855585713911,0.13887657611991336,0.1343169526265067,1.9197216972842701
\src\tools\function_tools::getCodenbyNodeIdTool,0.03225806451612903,,,0.06666666666666667,0.125,0.0,0.05098855359001041,0.003958810906551324,1.562349071775104e-16,1.4489436412997433e-16,8.653214172531115e-12,0.27887209568801097
\src\wiki\wikiGuille::classifyAndDocumentFiles,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,2.804364503993547e-16,2.3464696695907017e-16,0.0,0.2822580645161295
