Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\routes\chat\index::chat,0.2926829268292683,,,0.024390243902439025,0.3529411764705882,0.022689948326702916,0.019300680811686163,0.00016914400508388197,0.9757391275990065,3.294587393166817e-16,0.0,1.6879132479447752
\routes\chat\widget::chatWidget,0.26829268292682923,,,0.024390243902439025,0.32352941176470584,0.023773011694075856,0.019300680811686163,0.00016914400508388197,0.8289315474855297,2.0652393440621624e-16,0.0,1.48838672259035
\types\index::ChatMessage,0.26829268292682923,,,0.26829268292682923,0.029411764705882353,0.0,0.1880189917273248,0.196696033436419,0.018615149356608185,0.1128982786607966,1.1965119749186412e-05,1.0822375488604385
\routes\chat\extension::chatExtension,0.26829268292682923,,,0.024390243902439025,0.32352941176470584,0.02209684219695106,0.019300680811686163,0.00016914400508388197,0.9488650228539606,2.0892083519892096e-16,0.0,1.606644028461656
\routes\slack::slack,0.2439024390243902,,,0.024390243902439025,0.29411764705882354,0.04349479334477618,0.019300680811686163,0.00016914400508388197,0.3420754105030227,2.091225907054454e-16,0.0,0.967450358650222
\services\supabase\organizations::updateOrganizationsInteractions,0.2439024390243902,,,0.24390243902439024,0.029411764705882353,0.003558636778511106,0.14475510608764625,0.006185616635692311,0.16488426198717748,0.4663182567437968,0.0,1.302918520987487
\lib\mixpanel::mixpanel,0.21951219512195122,,,0.1951219512195122,0.058823529411764705,0.021944926800818484,0.1790280062054566,0.0031727173562704483,0.09406698422538168,0.16082234678384189,4.543773876575552e-10,0.9324926575793746
\lib\chat\streaming::onFinal,0.21951219512195122,,,0.024390243902439025,0.2647058823529412,0.0,0.09813905497467541,0.0003337886081960356,0.0837307244610474,0.006536266831595463,0.0,0.6973481562528457
\routes\agents\index::agents,0.21951219512195122,,,0.024390243902439025,0.2647058823529412,0.018452534533031355,0.019300680811686163,0.00016914400508388197,0.3261780882849784,1.7773906835322325e-16,0.0,0.8727087690121115
\routes\chat\completion::chatCompletion,0.21951219512195122,,,0.024390243902439025,0.2647058823529412,0.036073905935619086,0.019300680811686163,0.00016914400508388197,0.5351941956512061,2.5171112697315466e-16,0.0,1.0993462477809268
\services\db\mixpanel::getOwnerInfoByAgentId,0.21951219512195122,,,0.21951219512195122,0.029411764705882353,0.022538032930570336,0.13399126486574434,0.0026255765954398946,5.688236922850126e-17,0.4711810824544584,0.0,1.0987721117959979
\routes\chat\autocomplete::autocomplete,0.21951219512195122,,,0.024390243902439025,0.2647058823529412,0.021126219308420645,0.019300680811686163,0.00016914400508388197,0.49772942680752086,2.2174651503098374e-16,0.0,1.0469337923100432
\lib\integrations\slack-app\slack\services\supabase\interfaces::dbWorkspace,0.1951219512195122,,,0.1951219512195122,0.029411764705882353,0.0,0.0904719413047789,0.08290771040351387,0.00391973681329364,0.023772655837816917,2.101495417916185e-09,0.6207277136058056
\schemas\chat::roles,0.1951219512195122,,,0.21951219512195122,0.0,0.0,0.1703001248089956,0.026021938885845194,5.2783518551205504e-17,0.003479692834246081,0.0,0.6144359028705503
\routes\me::me,0.1951219512195122,,,0.024390243902439025,0.23529411764705882,0.007089374237626846,0.019300680811686163,0.00016914400508388197,0.4860330539904541,2.4441015206901934e-16,0.0,0.9673985658138613
