Node,degree,indegree_files_defines,outdegree_files_defines,indegree_files_calls,outdegree_files_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\routes\chat\extension,0.31428571428571433,,,,,,0.0,0.0,0.939315152452699,1.2197013774092647e-16,0.0,1.2536008667384135
\routes\chat\share,0.3714285714285715,,,,,,0.0,0.0,0.833406341491741,1.1659412525946314e-16,0.0,1.2048349129203126
\routes\chat\freeplan,0.4285714285714286,,,,,,0.0,0.0,0.7002656845179852,1.1871585927502284e-16,0.0,1.128837113089414
\routes\chat\widget,0.31428571428571433,,,,,,0.0,0.0,0.8008400756639259,1.1348718470427132e-16,0.0,1.1151257899496405
\services\supabase\subscription::getActiveSubscriptionByOrgId,0.1142857142857143,,,,,,0.1923076923076923,0.2779826169245607,7.156799144512767e-17,0.25279506115834033,0.19230769230769446,1.0296787769840023
\types\index,0.9714285714285715,,,,,,0.0,0.0,0.03248206029652655,8.619830053240808e-17,0.0,1.003910631725098
\services\supabase\plan::getFreePlan,0.1142857142857143,,,,,,0.1923076923076923,0.304248277951739,7.156799144512767e-17,0.17926624174001632,0.19230769230769446,0.9824156185928565
\schemas\index::uuidSchema,0.1142857142857143,,,,,,0.1923076923076923,0.35300856854352813,7.156799144512767e-17,0.12311473953900141,0.19230769230769446,0.9750244069836307
\routes\chat\autocomplete,0.2571428571428572,,,,,,0.0,0.0,0.5640699233226881,1.130688878691341e-16,0.0,0.8212127804655455
\lib\consts::channels,0.1142857142857143,,,,,,0.1923076923076923,0.09073343203967082,7.156799144512767e-17,0.22597181527180868,0.19230769230769446,0.8156063462125807
\lib\redis::redis,0.08571428571428573,,,,,,0.15384615384615383,0.29504283908949286,7.156799144512767e-17,0.10233482216398082,0.15384615384615558,0.790784254660069
\routes\me,0.2285714285714286,,,,,,0.0,0.0,0.5367153335478633,1.261040369930091e-16,0.0,0.7652867621192919
\routes\chat\completion,0.2285714285714286,,,,,,0.0,0.0,0.5049785708837187,1.2176871099885754e-16,0.0,0.7335499994551474
\routes\github,0.2285714285714286,,,,,,0.0,0.0,0.48795738548811696,8.814145710697852e-17,0.0,0.7165288140595457
\services\supabase\agents::getUserAgentById,0.08571428571428573,,,,,,0.15384615384615383,0.08674355850962767,7.156799144512767e-17,0.2278414761375099,0.15384615384615558,0.7079916280537328
\routes\telemetry,0.17142857142857146,,,,,,0.0,0.0,0.5222762864924665,1.2274730755967367e-16,0.0,0.6937048579210381
\schemas\chat::messageCreateSchema,0.08571428571428573,,,,,,0.15384615384615383,0.06526420116438648,7.156799144512767e-17,0.23016909991550824,0.15384615384615558,0.68883989448649
\routes\slack,0.28571428571428575,,,,,,0.0,0.0,0.39320339127994725,1.1873447122473685e-16,0.0,0.6789176769942331
\routes\agents\index,0.2571428571428572,,,,,,0.0,0.0,0.386468579729698,1.189011335707903e-16,0.0,0.6436114368725553
\lib\mixpanel::mixpanel,0.05714285714285716,,,,,,0.11538461538461538,0.25481722067956875,7.156799144512767e-17,0.10028843774741095,0.11538461538461667,0.6430177463390689
\routes\web,0.1428571428571429,,,,,,0.0,0.0,0.45612429727084464,9.569480193495949e-17,0.0,0.5989814401279877
\lib\consts::ACCEPTED_IMAGE_FILES,0.08571428571428573,,,,,,0.15384615384615383,0.11976368944013238,7.156799144512767e-17,0.0817648616541731,0.15384615384615558,0.5949351445009008
\lib\integrations\slack-app\slack\services\supabase\interfaces::dbWorkspace,0.08571428571428573,,,,,,0.15384615384615383,0.19893976207854291,7.156799144512767e-17,0.0015999881956443663,0.15384615384615558,0.5939463436807826
